ID,Item Number,Item Name,UNIT,CATEGORY,REORDERQTY,Average Unit Cost,Regular Price,WHOLESALE,TAXRATE,TAX GROUP,LOCATION,qty,Item Type,Item Description,shelf,supplier
4260,9038,LENOVO T460 CI5 LAPTOP,PC,ELECTRONICS,0,15005.5,28000,0,16,B,Main Shop,100,inventory,CORE I5 6TH  /4GB / 256 SSD,,
4261,9057,DELL LATITUDE 7400 CI5 LAPTOP,PC,ELECTRONICS,0,29550,39000,0,16,B,Main Shop,100,inventory,CORE I5 8TH / 8GB RAM / 256 SSD,,
4262,9117,DELL 14Z BATTERY,PC,ELECTRONICS,0,3500,0,0,16,B,Main Shop,100,inventory,dell 14z battery,,
4263,9174,BM04XL BATTERY,PC,ELECTRONICS,0,2880.66616,4000,0,16,B,Main Shop,100,inventory,BM04XL BATTERY,,
4264,9221,WINTOUCH K81 PURPLE TABLET,PC,ELECTRONICS,0,0,9000,0,16,B,Main Shop,100,inventory,,,
4265,9247,Lenovo x1 Yoga i5-6/8/256  T/S,PC,ELECTRONICS,0,21393.2,40000,0,16,B,Main Shop,100,inventory,CORE I5 6TH GEN / 8GB RAM / 256 SSD TOUCH SCREEN,,
4266,9118,HP 15 BK FAN,PC,ELECTRONICS,0,696,1500,0,16,B,Main Shop,100,inventory,,,
4267,9175,microsoft 15V 4A pro Tip,PC,ELECTRONICS,0,1328,2500,0,16,B,Main Shop,100,inventory,,,
4268,9222,VENTION DISPLAY PORT-VGA,PC,ELECTRONICS,0,900,0,0,16,B,Main Shop,100,inventory,VENTION DISPLAY PORT TO VGA CONVERTER,,
4269,9248,MacBook Pro A1990 i7/512/16gb 2,PC,ELECTRONICS,0,85016,105000,0,16,B,Main Shop,100,inventory,2019 core i7 / 16gb ram /512ssd 2gb grapics card touchbar,,
4270,9265,4X20M26260 Lenovo 45W Type c,PC,ELECTRONICS,0,4093.18,6500,0,16,B,Main Shop,100,inventory,Lenovo 45W Standard AC Adapter (USB Type-C)- UK,,
4271,9270,62B2GAT1UK,PC,ELECTRONICS,0,0,0,0,16,B,Main Shop,100,inventory,ThinkVision P24h-30 23.8-inch monitor,,
4272,9297,WINTOUCH M719 TABLET GREEN,PC,ELECTRONICS,0,4346,8500,0,16,B,Main Shop,100,inventory,"ANDROID 5.1, RAM 1GB ROM 32GB, 3G",,
4273,9323,32GB PC4L 3200 LAPTOP RAM,PC,ELECTRONICS,0,10750,0,0,16,B,Main Shop,100,inventory,32GB PC4L 3200 LAPTOP RAM,,
4274,9378,DELL 9928 SHREDDER,PC,ELECTRONICS,0,7000,0,0,16,B,Main Shop,100,inventory,DELL 9928 SHREDDER,,
4275,9380,ASUS TP 470 EA-EC516W CI3 LAPTO,PC,ELECTRONICS,0,61196.52,75000,0,16,B,Main Shop,100,inventory,TP470/14 FHD Touch/i3- 1115G4/8GB/512GB/Win 11/Indie Black,,
4276,9391,WINDOWS 11 PRO 64 BIT,PC,ELECTRONICS,0,5500,0,0,16,B,Main Shop,100,inventory,WINDOWS 11 PRO 64 BIT,,
4277,9397,GA401IV-1D K/B US MODULE,PC,ELECTRONICS,0,4690,7000,0,16,B,Main Shop,100,inventory,GA401IV-1D K/B US MODULE,,
4278,9400,PAVILLION 15 AS HDD CONNECTOR,PC,ELECTRONICS,0,1000,0,0,16,B,Main Shop,100,inventory,PAVILLION 15 AS HDD CONNECTOR,,
4279,9404,HP SPECTRE 14 EA OLED SCREEN,PC,ELECTRONICS,0,29522,35000,0,16,B,Main Shop,100,inventory,HP SPECTRE 14 EA OLED SCREEN,,
4280,9408,CANON CHARGER,PC,ELECTRONICS,0,1500,0,0,16,B,Main Shop,100,inventory,CANON CAMERA CHARGER,,
4281,9412,APPLE 67WATTS CHARGER,PC,ELECTRONICS,0,5500,0,0,16,B,Main Shop,100,inventory,APPLE 67WATTS CHARGER,,
4282,8276,samsung r530 AB casing,PC,ELECTRONICS,0,4000,6000,0,16,B,Main Shop,100,inventory,R530/ NP530U,,
4283,8346,LENOVO L16M2PB1 BATTERY,PC,ELECTRONICS,0,1891,3500,0,16,B,Main Shop,100,inventory,V330-4  320-14 310-14 BATTERY,,
4284,8392,hp probook 450 g6 fan,PC,ELECTRONICS,0,650,2000,0,16,B,Main Shop,100,inventory,L47696-001,,
4285,8413,LAT-3420 i5 8GB 256GB,PC,ELECTRONICS,0,99528,0,0,16,B,Main Shop,100,inventory,"Lati 3420/Core I5-1135G7/8GB/256GB SSD/14"" FHD (1920x 1080) Anti-Glare Non-Touch/Camera & Microphone/ WLAN capable/Backlit Kb/3 Cell/W10Pro/1Yr  Basic Onsite warranty",,
4286,8431,CAL Licenses R18-05768 WinSvr,PC,ELECTRONICS,0,4500,0,0,16,B,Main Shop,100,inventory,CAL Licenses R18-05768 WinSvrCAL 2019 SNGL OLP NL UsrCAL,,
4287,8437,asus ux412u keybaord,PC,ELECTRONICS,0,2258,4000,0,16,B,Main Shop,100,inventory,,,
